Land,Name,Party
Baden-Württemberg,"Widmann-Mauz, Annette",CDU
Baden-Württemberg,"Schavan, Annette",CDU
Baden-Württemberg,"Rief, Josef",CDU
Baden-Württemberg,"Riebsamen, Lothar",CDU
Baden-Württemberg,"Schockenhoff, Andreas",CDU
Baden-Württemberg,"Bareiß, Thomas",CDU
Baden-Württemberg,"Erler, Gernot",SPD
Baden-Württemberg,"Vogt, Ute",SPD
Baden-Württemberg,"Kressl, Nicolette",SPD
Baden-Württemberg,"Lange, Christian",SPD
Baden-Württemberg,"Mattheis, Hildegard",SPD
Baden-Württemberg,"Roth, Karin",SPD
Baden-Württemberg,"Kumpf, Ute",SPD
Baden-Württemberg,"Scheer, Hermann",SPD
Baden-Württemberg,"Friedrich, Peter",SPD
Baden-Württemberg,"Arnold, Rainer",SPD
Baden-Württemberg,"Drobinski-Weiß, Elvira",SPD
Baden-Württemberg,"Gerster, Martin",SPD
Baden-Württemberg,"Mast, Katja",SPD
Baden-Württemberg,"Binding, Lothar",SPD
Baden-Württemberg,"Juratovi_, Josip",SPD
Baden-Württemberg,"Schwarzelühr-Sutter, Rita",SPD
Baden-Württemberg,"Rebmann, Stefan",SPD
Baden-Württemberg,"Sawade, Annette",SPD
Baden-Württemberg,"Homburger, Birgit",FDP
Baden-Württemberg,"Niebel, Dirk",FDP
Baden-Württemberg,"Burgbacher, Ernst",FDP
Baden-Württemberg,"Leibrecht, Harald",FDP
Baden-Württemberg,"Wolff, Harald",FDP
Baden-Württemberg,"Laurischk, Sibylle",FDP
Baden-Württemberg,"Meinhardt, Patrick",FDP
Baden-Württemberg,"Toncar, Florian",FDP
Baden-Württemberg,"Link, Michael",FDP
Baden-Württemberg,"Schweickert, Erik",FDP
Baden-Württemberg,"Reinemund, Birgit",FDP
Baden-Württemberg,"Skudelny, Judith",FDP
Baden-Württemberg,"Kober, Pascal",FDP
Baden-Württemberg,"Simmling, Werner",FDP
Baden-Württemberg,"Golombeck, Heinz",FDP
Baden-Württemberg,"Maurer, Ulrich",Linke
Baden-Württemberg,"Hänsel, Heike",Linke
Baden-Württemberg,"Binder, Karin",Linke
Baden-Württemberg,"Schlecht, Michael",Linke
Baden-Württemberg,"Groth, Annette",Linke
Baden-Württemberg,"Pitterle, Richard",Linke
Baden-Württemberg,"Andreae, Kerstin",Grüne
Baden-Württemberg,"Kuhn, Fritz",Grüne
Baden-Württemberg,"Kotting-Uhl, Sylvia",Grüne
Baden-Württemberg,"Schick, Gerhard",Grüne
Baden-Württemberg,"Müller-Gemmeke, Beate",Grüne
Baden-Württemberg,"Hermann, Winfried",Grüne
Baden-Württemberg,"Bender, Birgitt",Grüne
Baden-Württemberg,"Bonde, Alexander",Grüne
Baden-Württemberg,"Hönlinger, Ingrid",Grüne
Baden-Württemberg,"Kilic, Memet",Grüne
Baden-Württemberg,"Malczak, Agnes",Grüne
Baden-Württemberg,"Ebner, Harald",Grüne
Baden-Württemberg,"Seiler, Till",Grüne
Baden-Württemberg,"Schneider, Ulrich",Grüne
Baden-Württemberg,"Kieckbusch, Susanne",Grüne
Saarland,"Hübinger, Anette",CDU
Saarland,"Altmaier, Peter",CDU
Saarland,"Müller, Nadine",CDU
Saarland,"Funk, Alexander",CDU
Saarland,"Ferner, Elke",SPD
Saarland,"Schreiner, Ottmar",SPD
Saarland,"Klug, Astrid",SPD
Saarland,"Luksic, Oliver",FDP
Saarland,"Lafontaine, Oskar",Linke
Saarland,"Lutze, Thomas",Linke
Saarland,"Ploetz, Yvonne",Linke
Saarland,"Tressel, Markus",Grüne
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
