Member of the Bundestag,Born,Party,State1
Andreas Schockenhoff,1957,CDU,Baden-Württemberg
Nadine Schön,1983,CDU,Saarland
(St. Wendel),,,
Kristina Schröder,1977,CDU,Hessen
(Wiesbaden),,,
Ole Schröder,1971,CDU,Schleswig-Holstein
Ursula Schulte,1952,SPD,Nordrhein-Westfalen
Bernhard Schulte-Drüggelte,1951,CDU,Nordrhein-Westfalen
Swen Schulz,1968,SPD,Berlin
(Spandau),,,
Kordula Schulz-Asche,1956,GRÜNE,Hessen
Klaus-Peter Schulze,1954,CDU,Brandenburg
Uwe Schummer,1957,CDU,Nordrhein-Westfalen
Ewald Schurer,1954,SPD,Bayern
Armin Schuster,1961,CDU,Baden-Württemberg
(Weil am Rhein),,,
Frank Schwabe,1970,SPD,Nordrhein-Westfalen
Stefan Schwartze,1974,SPD,Nordrhein-Westfalen
Andreas Schwarz,1965,SPD,Bayern
Rita Schwarzelühr-Sutter,1962,SPD,Baden-Württemberg
Christina Schwarzer,1976,CDU,Berlin
Detlef Seif,1962,CDU,Nordrhein-Westfalen
Johannes Selle,1956,CDU,Thüringen
Reinhold Sendker,1952,CDU,Nordrhein-Westfalen
Patrick Sensburg,1971,CDU,Nordrhein-Westfalen
Bernd Siebert,1949,CDU,Hessen
Carsten Sieling,1959,SPD,Bremen
Thomas Silberhorn,1968,CSU,Bayern
Johannes Singhammer,1953,CSU,Bayern
Petra Sitte,1960,DIE LINKE,Sachsen-Anhalt
Tino Sorge,1975,CDU,Sachsen-Anhalt
Jens Spahn,1980,CDU,Nordrhein-Westfalen
Rainer Spiering,1956,SPD,Niedersachsen
Norbert Spinrath,1957,SPD,Nordrhein-Westfalen
Svenja Stadler,1976,SPD,Niedersachsen
Martina Stamm-Fibich,1965,SPD,Bayern
Carola Stauche,1952,CDU,Thüringen
Frank Steffel,1966,CDU,Berlin
Sonja Steffen,1963,SPD,Mecklenburg-Vorpommern
Wolfgang Stefinger,1985,CSU,Bayern
Albert Stegemann,1976,CDU,Niedersachsen
Peter Stein,1968,CDU,Mecklenburg-Vorpommern
Erika Steinbach,1943,independent,Hessen
Peer Steinbrück,1947,SPD,Nordrhein-Westfalen
Sebastian Steineke,1973,CDU,Brandenburg
Johannes Steiniger,1987,CDU,Rheinland-Pfalz
Kersten Steinke,1958,DIE LINKE,Thüringen
Frank-Walter Steinmeier,1956,SPD,Brandenburg
Christian von Stetten,1970,CDU,Baden-Württemberg
Dieter Stier,1964,CDU,Sachsen-Anhalt
Rita Stockhofe,1967,CDU,Nordrhein-Westfalen
Gero Storjohann,1958,CDU,Schleswig-Holstein
Stephan Stracke,1974,CSU,Bayern
Christoph Strässer,1949,SPD,Nordrhein-Westfalen
Max Straubinger,1954,CSU,Bayern
Matthäus Strebl,1952,CSU,Bayern
Wolfgang Strengmann-Kuhn,1964,GRÜNE,Hessen
Karin Strenz,1967,CDU,Mecklenburg-Vorpommern
Thomas Stritzl,1957,CDU,Schleswig-Holstein
Hans-Christian Ströbele,1939,GRÜNE,Berlin
Thomas Strobl,1960,CDU,Baden-Württemberg
(Heilbronn),,,
Lena Strothmann,1952,CDU,Nordrhein-Westfalen
Michael Stübgen,1959,CDU,Brandenburg
Sabine Sütterlin-Waack,1958,CDU,Schleswig-Holstein
Kerstin Tack,1968,SPD,Niedersachsen
Kirsten Tackmann,1960,DIE LINKE,Brandenburg
Azize Tank,1950,DIE LINKE,Berlin
Peter Tauber,1974,CDU,Hessen
Claudia Tausend,1964,SPD,Bayern
Frank Tempel,1969,DIE LINKE,Thüringen
Harald Terpe,1954,GRÜNE,Mecklenburg-Vorpommern
Michael Thews,1964,SPD,Nordrhein-Westfalen
Karin Thissen,1960,SPD,Schleswig-Holstein
Franz Thönnes,1954,SPD,Schleswig-Holstein
Wolfgang Tiefensee,1955,SPD,Sachsen
Antje Tillmann,1964,CDU,Thüringen
Astrid Timmermann-Fechter,1963,CDU,Nordrhein-Westfalen
Carsten Träger,1973,SPD,Bayern
Markus Tressel,1977,GRÜNE,Saarland
Jürgen Trittin,1954,GRÜNE,Niedersachsen
Axel Troost,1954,DIE LINKE,Sachsen
Hans-Peter Uhl,1944,CSU,Bayern
Markus Uhl,1979,CDU,Saarland
Volker Michael Ullrich,1975,CSU,Bayern
Alexander Ulrich,1971,DIE LINKE,Rheinland-Pfalz
Arnold Vaatz,1955,CDU,Sachsen
Rüdiger Veit,1949,SPD,Hessen
Oswin Veith,1961,CDU,Hessen
Julia Verlinden,1979,GRÜNE,Niedersachsen
Thomas Viesehon,1973,CDU,Hessen
Michael Vietz,1968,CDU,Niedersachsen
Volkmar Vogel,1959,CDU,Thüringen
(Kleinsaara),,,
Kathrin Vogler,1963,DIE LINKE,Nordrhein-Westfalen
Ute Vogt,1964,SPD,Baden-Württemberg
Sven Volmering,1976,CDU,Nordrhein-Westfalen
Dirk Vöpel,1971,SPD,Nordrhein-Westfalen
Christel Voßbeck-Kayser,1961,CDU,Nordrhein-Westfalen
Kees de Vries,1955,CDU,Sachsen-Anhalt
Johann Wadephul,1963,CDU,Schleswig-Holstein
Sahra Wagenknecht,1969,DIE LINKE,Nordrhein-Westfalen
Doris Wagner,1963,GRÜNE,Bayern
Beate Walter-Rosenheimer,1964,GRÜNE,Bayern
Marco Wanderwitz,1975,CDU,Sachsen
Karl-Heinz Wange,1946,CDU,Nordrhein-Westfalen
Nina Warken,1979,CDU,Baden-Württemberg
Halina Wawzyniak,1973,DIE LINKE,Berlin
Gabi Weber,1955,SPD,Rheinland-Pfalz
Kai Wegner,1972,CDU,Berlin
Albert Weiler,1965,CDU,Thüringen
Harald Weinberg,1957,DIE LINKE,Bayern
Marcus Weinberg,1967,CDU,Hamburg
(Hamburg),,,
Anja Weisgerber,1976,CSU,Bayern
Peter Weiß,1956,CDU,Baden-Württemberg
(Emmendingen),,,
Sabine Weiss,1958,CDU,Nordrhein-Westfalen
(Wesel I),,,
Ingo Wellenreuther,1959,CDU,Baden-Württemberg
Karl-Georg Wellmann,1952,CDU,Berlin
Marian Wendt,1985,CDU,Sachsen
Katrin Werner,1973,DIE LINKE,Rheinland-Pfalz
Waldemar Westermayer,1953,CDU,Baden-Württemberg
Bernd Westphal,1960,SPD,Niedersachsen
Kai Whittaker,1985,CDU,Baden-Württemberg
Peter Wichtel,1949,CDU,Hessen
Andrea Wicklein,1958,SPD,Brandenburg
Annette Widmann-Mauz,1966,CDU,Baden-Württemberg
Dirk Wiese,1983,SPD,Nordrhein-Westfalen
Heinz Wiese,1945,CDU,Baden-Württemberg
(Ehingen),,,
Klaus-Peter Willsch,1961,CDU,Hessen
Valerie Wilms,1954,GRÜNE,Schleswig-Holstein
Elisabeth Winkelmeier-Becker,1962,CDU,Nordrhein-Westfalen
Oliver Wittke,1966,CDU,Nordrhein-Westfalen
Dagmar Wöhrl,1954,CSU,Bayern
Waltraud Wolff,1956,SPD,Sachsen-Anhalt
(Wolmirstedt),,,
Birgit Wöllert,1950,DIE LINKE,Brandenburg
Barbara Woltmann,1957,CDU,Niedersachsen
Jörn Wunderlich,1960,DIE LINKE,Sachsen
Gülistan Yüksel,1962,SPD,Nordrhein-Westfalen
Hubertus Zdebel,1954,DIE LINKE,Nordrhein-Westfalen
Tobias Zech,1981,CSU,Bayern
Heinrich Zertik,1957,CDU,Nordrhein-Westfalen
Emmi Zeulner,1987,CSU,Bayern
Dagmar Ziegler,1960,SPD,Brandenburg
Stefan Zierke,1970,SPD,Brandenburg
Matthias Zimmer,1961,CDU,Hessen
Jens Zimmermann,1981,SPD,Hessen
Pia-Beate Zimmermann,1956,DIE LINKE,Niedersachsen
Sabine Zimmermann (politician),1960,DIE LINKE,Sachsen
(Zwickau),,,
Manfred Zöllmer,1950,SPD,Nordrhein-Westfalen
Gudrun Zollner,1960,CSU,Bayern
Brigitte Zypries,1953,SPD,Hessen
