Member of the Bundestag,Born,Party,State1
Klaus-Peter Flosbach,1952,CDU,Nordrhein-Westfalen
Gabriele Fograscher,1957,SPD,Bayern
Edgar Franke,1960,SPD,Hessen
Ulrich Freese,1951,SPD,Brandenburg
Thorsten Frei,1973,CDU,Baden-Württemberg
Dagmar Freitag,1953,SPD,Nordrhein-Westfalen
Astrid Freudenstein,1973,CSU,Bayern
Hans-Peter Friedrich,1957,CSU,Bayern
(Hof),,,
Michael Frieser,1964,CSU,Bayern
Michael Fuchs,1949,CDU,Rheinland-Pfalz
Hans-Joachim Fuchtel,1952,CDU,Baden-Württemberg
Alexander Funk,1974,CDU,Saarland
Sigmar Gabriel,1959,SPD,Niedersachsen
Ingo Gädechens,1960,CDU,Schleswig-Holstein
Thomas Gambke,1949,GRÜNE,Bayern
Matthias Gastel,1970,GRÜNE,Baden-Württemberg
Peter Gauweiler,1949,CSU,Bayern
Thomas Gebhart,1971,CDU,Rheinland-Pfalz
Wolfgang Gehrcke,1943,DIE LINKE,Hessen
Kai Gehring,1977,GRÜNE,Nordrhein-Westfalen
Michael Gerdes,1960,SPD,Nordrhein-Westfalen
Alois Gerig,1956,CDU,Baden-Württemberg
Martin Gerster,1971,SPD,Baden-Württemberg
Eberhard Gienger,1951,CDU,Baden-Württemberg
Cemile Giousouf,1978,CDU,Nordrhein-Westfalen
Iris Gleicke,1964,SPD,Thüringen
Angelika Glöckner,1962,SPD,Rheinland-Pfalz
Nicole Gohlke,1975,DIE LINKE,Bayern
Diana Golze,1975,DIE LINKE,Brandenburg
Josef Göppel,1950,CSU,Bayern
Katrin Göring-Eckardt,1966,GRÜNE,Thüringen
Ulrike Gottschalck,1955,SPD,Hessen
Kerstin Griese,1966,SPD,Nordrhein-Westfalen
Reinhard Grindel,1961,CDU,Niedersachsen
Ursula Groden-Kranich,1965,CDU,Rheinland-Pfalz
Hermann Gröhe,1961,CDU,Nordrhein-Westfalen
Klaus-Dieter Gröhler,1966,CDU,Berlin
Gabriele Groneberg,1955,SPD,Niedersachsen
Michael Groß,1956,SPD,Nordrhein-Westfalen
Michael Grosse-Brömer,1960,CDU,Niedersachsen
Astrid Grotelüschen,1964,CDU,Niedersachsen
Annette Groth,1954,DIE LINKE,Baden-Württemberg
Uli Grötsch,1975,SPD,Bayern
Markus Grübel,1959,CDU,Baden-Württemberg
Manfred Grund,1955,CDU,Thüringen
Oliver Grundmann,1971,CDU,Niedersachsen
Monika Grütters,1962,CDU,Berlin
Herlind Gundelach,1949,CDU,Hamburg
Wolfgang Gunkel,1947,SPD,Sachsen
Fritz Güntzler,1966,CDU,Niedersachsen
Olav Gutting,1970,CDU,Baden-Württemberg
Gregor Gysi,1948,DIE LINKE,Berlin
Christian Haase,1966,CDU,Nordrhein-Westfalen
Bettina Hagedorn,1955,SPD,Schleswig-Holstein
Rita Hagl-Kehl,1970,SPD,Bayern
André Hahn,1963,DIE LINKE,Sachsen
Florian Hahn,1974,CSU,Bayern
Anja Hajduk,1963,GRÜNE,Hamburg
Rainer Hajek,1945,CDU,Niedersachsen
Metin Hakverdi,1969,SPD,Hamburg
Ulrich Hampel,1964,SPD,Nordrhein-Westfalen
Heike Hänsel,1966,DIE LINKE,Baden-Württemberg
Stephan Harbarth,1971,CDU,Baden-Württemberg
Jürgen Hardt,1963,CDU,Nordrhein-Westfalen
Michael Hartmann,1963,SPD,Rheinland-Pfalz
(Wackernheim),,,
Sebastian Hartmann,1977,SPD,Nordrhein-Westfalen
Gerda Hasselfeldt,1950,CSU,Bayern
Britta Haßelmann,1961,GRÜNE,Nordrhein-Westfalen
Matthias Hauer,1977,CDU,Nordrhein-Westfalen
Mark Hauptmann,1984,CDU,Thüringen
Stefan Heck,1982,CDU,Hessen
Dirk Heidenblut,1961,SPD,Nordrhein-Westfalen
Matthias Heider,1966,CDU,Nordrhein-Westfalen
Helmut Heiderich,1949,CDU,Hessen
Hubertus Heil,1972,SPD,Niedersachsen
(Peine),,,
Mechthild Heil,1961,CDU,Rheinland-Pfalz
Rosemarie Hein,1953,DIE LINKE,Sachsen-Anhalt
Frank Heinrich,1964,CDU,Sachsen
(Chemnitz),,,
Gabriela Heinrich,1963,SPD,Bayern
Marcus Held,1977,SPD,Rheinland-Pfalz
Mark Helfrich,1978,CDU,Schleswig-Holstein
Uda Heller,1951,CDU,Sachsen-Anhalt
Wolfgang Hellmich,1958,SPD,Nordrhein-Westfalen
Jörg Hellmuth,1957,CDU,Sachsen-Anhalt
Barbara Hendricks,1952,SPD,Nordrhein-Westfalen
Rudolf Henke,1954,CDU,Nordrhein-Westfalen
Heidtrud Henn,1962,SPD,Saarland
Michael Hennrich,1965,CDU,Baden-Württemberg
Marion Herdan,1958,CDU,Schleswig-Holstein
Gustav Herzog,1958,SPD,Rheinland-Pfalz
Ansgar Heveling,1972,CDU,Nordrhein-Westfalen
Gabriele Hiller-Ohm,1953,SPD,Schleswig-Holstein
Peter Hintze,1950,CDU,Nordrhein-Westfalen
Peter Hinz,1958,CDU,Baden-Württemberg
Petra Hinz,1962,SPD,Nordrhein-Westfalen
(Essen),,,
Priska Hinz,1959,GRÜNE,Hessen
(Herborn),,,
Christian Hirte,1976,CDU,Thüringen
Heribert Hirte,1958,CDU,Nordrhein-Westfalen
Thomas Hitschler,1982,SPD,Rheinland-Pfalz
Robert Hochbaum,1954,CDU,Sachsen
Alexander Hoffmann,1975,CSU,Bayern
Thorsten Hoffmann,1961,CDU,Nordrhein-Westfalen
(Dortmund),,,
Anton Hofreiter,1970,GRÜNE,Bayern
Inge Höger,1950,DIE LINKE,Nordrhein-Westfalen
Eva Högl,1969,SPD,Berlin
Bärbel Höhn,1952,GRÜNE,Nordrhein-Westfalen
Karl Holmeier,1956,CSU,Bayern
Franz-Josef Holzenkamp,1960,CDU,Niedersachsen
Hendrik Hoppenstedt,1972,CDU,Niedersachsen
Margaret Horb,1967,CDU,Baden-Württemberg
Mathias Edwin Höschel,1967,CDU,Nordrhein-Westfalen
Bettina Hornhues,1972,CDU,Bremen
Charles M. Huber,1956,CDU,Hessen
Anette Hübinger,1955,CDU,Saarland
Andrej Hunko,1963,DIE LINKE,Nordrhein-Westfalen
Sigrid Hupach,1968,DIE LINKE,Thüringen
Hubert Hüppe,1956,CDU,Nordrhein-Westfalen
Matthias Ilgen,1983,SPD,Schleswig-Holstein
Erich Irlstorfer,1970,CSU,Bayern
Dieter Janecek,1976,GRÜNE,Bayern
Christina Jantz,1978,SPD,Niedersachsen
Thomas Jarzombek,1973,CDU,Nordrhein-Westfalen
Ulla Jelpke,1951,DIE LINKE,Nordrhein-Westfalen
Thomas Jepsen,1973,CDU,Schleswig-Holstein
Sylvia Jörrißen,1967,CDU,Nordrhein-Westfalen
Reinhold Jost,1966,SPD,Saarland
Andreas Jung,1975,CDU,Baden-Württemberg
(Konstanz),,,
Franz Josef Jung,1949,CDU,Hessen
Xaver Jung,1962,CDU,Rheinland-Pfalz
Frank Junge,1967,SPD,Mecklenburg-Vorpommern
Josip Juratovic,1959,SPD,Baden-Württemberg
Thomas Jurk,1962,SPD,Sachsen
Egon Jüttner,1942,CDU,Baden-Württemberg
Oliver Kaczmarek,1970,SPD,Nordrhein-Westfalen
Johannes Kahrs,1963,SPD,Hamburg
Bartholomäus Kalb,1949,CSU,Bayern
Hans-Werner Kammer,1948,CDU,Niedersachsen
Steffen Kampeter,1963,CDU,Nordrhein-Westfalen
Christina Kampmann,1980,SPD,Nordrhein-Westfalen
Steffen Kanitz,1984,CDU,Nordrhein-Westfalen
Ralf Kapschack,1954,SPD,Nordrhein-Westfalen
Susanna Karawanskij,1980,DIE LINKE,Sachsen
