Name,Year of birth,party,State
Thomas Erndl,1974[159],CSU,Bavaria
Klaus Ernst,1954[161],The Left,Bavaria
Wiebke Esdar,1984[162],SPD,North Rhine-Westphalia
Saskia Esken,1961[164],SPD,Baden-Württemberg
Michael Espendiller,1989[165],AfD,North Rhine-Westphalia
Marcus Faber,1984[166],FDP,Saxony-Anhalt
Yasmin Fahimi,1967[167],SPD,Lower Saxony
Hermann Färber,1963[169],CDU,Baden-Württemberg
Johannes Fechner,1972[171],SPD,Baden-Württemberg
Uwe Feiler,1965[172],CDU,Brandenburg
Fritz Felgentreu,1968[174],SPD,Berlin
Peter Felser,1969[176],AfD,Bavaria
Enak Ferlemann,1963[177],CDU,Lower Saxony
Susanne Ferschl,1973[179],The Left,Bavaria
Axel Fischer,1966[180],CDU,Baden-Württemberg
Maria Flachsbarth,1963[182],CDU,Lower Saxony
Daniel Föst,1976[183],FDP,Bavaria
Edgar Franke,1960[184],SPD,Hesse
Ulrich Freese,1951[186],SPD,Brandenburg
Thorsten Frei,1973[187],CDU,Baden-Württemberg
Brigitte Freihold,1955[189],The Left,Rhineland-Palatinate
Dagmar Freitag,1953[190],SPD,North Rhine-Westphalia
Otto Fricke,1965[192],FDP,North Rhine-Westphalia
Dietmar Friedhoff,1966[193],AfD,Lower Saxony
Hans-Peter Friedrich,1957[194],CSU,Bavaria
Anton Friesen,1985[196],AfD,Thuringia
Michael Frieser,1964[197],CSU,Bavaria
Markus Frohnmaier,1991[199],AfD,Baden-Württemberg
Götz Frömming,1968[200],AfD,Berlin
Hans-Joachim Fuchtel,1952[201],CDU,Baden-Württemberg
Sylvia Gabelmann,1958[203],The Left,North Rhine-Westphalia
Ingo Gädechens,1960[204],CDU,Schleswig-Holstein
Matthias Gastel,1970[206],Greens,Baden-Württemberg
Alexander Gauland,1941[207],AfD,Brandenburg
Thomas Gebhart,1971[208],CDU,Rhineland-Palatinate
Kai Gehring[210],1977[210],Greens,North Rhine-Westphalia
Axel Gehrke,1942[211],AfD,Schleswig-Holstein
Stefan Gelbhaar,1976[212],Greens,Berlin
Michael Gerdes,1960[213],SPD,North Rhine-Westphalia
Alois Gerig,1956[215],CDU,Baden-Württemberg
Martin Gerster,1971[217],SPD,Baden-Württemberg
Eberhard Gienger,1951[218],CDU,Baden-Württemberg
Albrecht Glaser,1942[220],AfD,Hesse
Angelika Glöckner,1962[221],SPD,Rhineland-Palatinate
Franziska Gminder,1945[222],AfD,Baden-Württemberg
Eckhard Gnodtke,1958[223],CDU,Saxony-Anhalt
Nicole Gohlke,1975[225],The Left,Bavaria
Katrin Göring-Eckardt,1966[226],Greens,Thuringia
Wilhelm von Gottberg,1940[227],AfD,Lower Saxony
Kay Gottschalk,1965[228],AfD,North Rhine-Westphalia
Timon Gremmels,1976[229],SPD,Hesse
Kerstin Griese,1966[231],SPD,North Rhine-Westphalia
Ursula Groden-Kranich,1965[232],CDU,Rhineland-Palatinate
Hermann Gröhe,1961[234],CDU,North Rhine-Westphalia
Klaus-Dieter Gröhler,1966[236],CDU,Berlin
Michael Groß,1956[238],SPD,North Rhine-Westphalia
Michael Grosse-Brömer,1960[240],CDU,Lower Saxony
Astrid Grotelüschen,1964[242],CDU,Lower Saxony
Uli Grötsch,1975[244],SPD,Bavaria
Markus Grübel,1959[245],CDU,Baden-Württemberg
Manfred Grund,1955[247],CDU,Thuringia
Erhard Grundl,1963[249],Greens,Bavaria
Oliver Grundmann,1971[250],CDU,Lower Saxony
Monika Grütters,1962[252],CDU,Berlin
Fritz Güntzler,1966[253],CDU,Lower Saxony
Olav Gutting,1970[254],CDU,Baden-Württemberg
Gregor Gysi,1948[256],The Left,Berlin
Christian Haase,1966,CDU,North Rhine-Westphalia
Thomas Hacker,1967,FDP,Bavaria
Bettina Hagedorn,1955,SPD,Schleswig-Holstein
Rita Hagl-Kehl,1970,SPD,Bavaria
André Hahn,1963,The Left,Saxony
Florian Hahn,1974,CSU,Bavaria
Anja Hajduk,1963,The Left,Hamburg
Metin Hakverdi,1969,SPD,Hamburg
Armin-Paul Hampel,1957,AfD,Lower Saxony
Reginald Hanke,1956,FDP,Thuringia
Heike Hänsel,1966,The Left,Baden-Württemberg
Mariana Harder-Kühnel,1974,AfD,Hesse
Jürgen Hardt,1963,CDU,North Rhine-Westphalia
Sebastian Hartmann,1977,SPD,North Rhine-Westphalia
Verena Hartmann,1974,Independent (ex AfD)[263],Saxony
Roland Hartwig,1954,AfD,North Rhine-Westphalia
Britta Haßelmann,1961,Greens,North Rhine-Westphalia
Matthias Hauer,1977,CDU,North Rhine-Westphalia
Jochen Haug,1973,AfD,North Rhine-Westphalia
Mark Hauptmann,1984,CDU,Thuringia
Martin Hebner,1959,AfD,Bavaria
Dirk Heidenblut,1961,SPD,North Rhine-Westphalia
Matthias Heider,1966,CDU,North Rhine-Westphalia
Peter Heidt,1965,FDP,Hesse
Hubertus Heil,1972,SPD,Lower Saxony
Mechthild Heil,1961,CDU,Rhineland-Palatinate
Thomas Heilmann,1964,CDU,Berlin
Frank Heinrich,1964,CDU,Saxony
Gabriela Heinrich,1963,SPD,Bavaria
Marcus Held,1977,SPD,Rhineland-Palatinate
Mark Helfrich,1978,CDU,Schleswig-Holstein
Katrin Helling-Plahr,1986,FDP,North Rhine-Westphalia
Wolfgang Hellmich,1958,SPD,North Rhine-Westphalia
Udo Hemmelgarn,1959,AfD,North Rhine-Westphalia
Barbara Hendricks,1952,SPD,North Rhine-Westphalia
Rudolf Henke,1954,CDU,North Rhine-Westphalia
Michael Hennrich,1965,CDU,Baden-Württemberg
Marc Henrichmann,1976,CDU,North Rhine-Westphalia
Markus Herbrand,1971,FDP,North Rhine-Westphalia
Torsten Herbst,1973,FDP,Saxony
Waldemar Herdt,1962,AfD,Lower Saxony
Lars Hermann,1977[275],Independent (ex AfD),Saxony
Gustav Herzog,1958,SPD,Rhineland-Palatinate
Martin Hess,1971,AfD,Baden-Württemberg
Katja Hessel,1972,FDP,Bavaria
Heiko Heßenkemper,1956,AfD,Saxony
Ansgar Heveling,1972,CDU,North Rhine-Westphalia
Gabriele Hiller-Ohm,1953,SPD,Schleswig-Holstein
Karsten Hilse,1964,AfD,Saxony
Christian Hirte,1976,CDU,Thuringia
Heribert Hirte,1958,CDU,North Rhine-Westphalia
Thomas Hitschler,1982,SPD,Rhineland-Palatinate
Nicole Höchst,1970,AfD,Rhineland-Palatinate
Gero Clemens Hocker,1975,FDP,Lower Saxony
Manuel Höferlin,1973,FDP,Rhineland-Palatinate
Alexander Hoffmann,1975,CSU,Bavaria
Bettina Hoffmann,1960,Greens,Hesse
Christoph Hoffmann,1957,FDP,Baden-Württemberg
Anton Hofreiter,1970,Greens,Bavaria
Martin Hohmann,1948,AfD,Hesse
Matthias Höhn,1975,The Left,Saxony-Anhalt
Bruno Hollnagel,1948,AfD,Schleswig-Holstein
Leif-Erik Holm,1970,AfD,Mecklenburg-Vorpommern
Karl Holmeier,1956,CSU,Bavaria
Ottmar von Holtz,1961,Greens,Lower Saxony
Hendrik Hoppenstedt,1972,CDU,Lower Saxony
Reinhard Houben,1960,FDP,North Rhine-Westphalia
Johannes Huber,1987,AfD,Bavaria
Andrej Hunko,1963,The Left,North Rhine-Westphalia
Ulla Ihnen,1956,FDP,Lower Saxony
Erich Irlstorfer,1970,CSU,Bavaria
Hans-Jürgen Irmer,1952,CDU,Hesse
Fabian Jacobi,1973,AfD,North Rhine-Westphalia
Dieter Janecek,1976,Greens,Bavaria
Thomas Jarzombek,1973,CDU,North Rhine-Westphalia
Ulla Jelpke,1951,The Left,North Rhine-Westphalia
Gyde Jensen,1989,FDP,Schleswig-Holstein
Marc Jongen,1968,AfD,Baden-Württemberg
Andreas Jung,1975,CDU,Baden-Württemberg
Christian Jung,1977,FDP,Baden-Württemberg
Ingmar Jung,1978,CDU,Hesse
Frank Junge,1967,SPD,Mecklenburg-Vorpommern
Josip Juratovic,1959,SPD,Baden-Württemberg
Thomas Jurk,1962,SPD,Saxony
Oliver Kaczmarek,1970,SPD,North Rhine-Westphalia
Elisabeth Kaiser,1987,SPD,Thuringia
Uwe Kamann,1958,LKR (ex AfD),North Rhine-Westphalia
Kirsten Kappert-Gonther,1966,Greens,Bremen
Ralf Kapschack,1954,SPD,North Rhine-Westphalia
Alois Karl,1950,CSU,Bavaria
Anja Karliczek,1971,CDU,North Rhine-Westphalia
Torbjörn Kartes,1979,CDU,Rhineland-Palatinate
Kerstin Kassner,1958,The Left,Mecklenburg-Vorpommern
Gabriele Katzmarek,1960,SPD,Baden-Württemberg
Volker Kauder,1949,CDU,Baden-Württemberg
Stefan Kaufmann,1969,CDU,Baden-Württemberg
Uwe Kekeritz,1953,Greens,Bavaria
Ronja Kemmer,1989,CDU,Baden-Württemberg
Achim Kessler,1964,The Left,Hesse
Jens Kestner,1971,AfD,Lower Saxony
Katja Keul,1969,Greens,Lower Saxony
Stefan Keuter,1972,AfD,North Rhine-Westphalia
Roderich Kiesewetter,1963,CDU,Baden-Württemberg
Michael Kießling,1973,CSU,Bavaria
Sven-Christian Kindler,1985,Greens,Lower Saxony
Georg Kippels,1959,CDU,North Rhine-Westphalia
Katja Kipping,1978,The Left,Saxony
Cansel Kiziltepe,1975,SPD,Berlin
Arno Klare,1952,SPD,North Rhine-Westphalia
Karsten Klein,1977,FDP,Bavaria
Volkmar Klein,1960,CDU,North Rhine-Westphalia
Maria Klein-Schmeink,1958,Greens,North Rhine-Westphalia
Norbert Kleinwächter,1986,AfD,Brandenburg
Lars Klingbeil,1978,SPD,Lower Saxony
Marcel Klinge,1980,FDP,Baden-Württemberg
Daniela Kluckert,1980,FDP,Berlin
Axel Knoerig,1967,CDU,Lower Saxony
Pascal Kober,1971,FDP,Baden-Württemberg
Jens Koeppen,1962,CDU,Brandenburg
Bärbel Kofler,1967,SPD,Bavaria
Lukas Köhler,1986,FDP,Bavaria
Daniela Kolbe,1980,SPD,Saxony
Enrico Komning,1968,AfD,Mecklenburg-Vorpommern
Jörn König,1967,AfD,Lower Saxony
Carina Konrad,1982,FDP,Rhineland-Palatinate
Markus Koob,1977,CDU,Hesse
Carsten Körber,1979,CDU,Saxony
Elvan Korkmaz,1985,SPD,North Rhine-Westphalia
Jan Korte,1977,The Left,Saxony-Anhalt
Steffen Kotré,1971,AfD,Brandenburg
Sylvia Kotting-Uhl,1952,Greens,Baden-Württemberg
Rainer Kraft,1974,AfD,Bavaria
Anette Kramme,1967,SPD,Bavaria
Alexander Krauß,1975,CDU,Saxony
Jutta Krellmann,1956,The Left,Lower Saxony
Gunther Krichbaum,1964,CDU,Baden-Württemberg
