Karl-Theodor Freiherr von und zu Guttenberg, CSU
Olav Gutting, CDU
Dr.Gregor Gysi, Die Linke.
Hans-Joachim Hacker, SPD
Heike Hänsel, Die Linke.
Bettina Hagedorn, SPD
Klaus Hagemann, SPD
Holger-Heinrich Haibach, CDU
Anja Hajduk, Bündnis 90/Die Grünen
Christel Happach-Kasan, FDP
Alfred Hartenbach, SPD
Michael Hartmann, SPD
Gerda Hasselfeldt, CSU
Britta Haßelmann, Bündnis 90/Die Grünen
Nina Hauer, SPD
Heinz-Peter Haustein, FDP
Hubertus Heil, SPD
Lutz Eberhard Heilmann, Die Linke.
Ursula Heinen, CDU
Uda Carmen Freia Heller, CDU
Reinhold Hemker, SPD
Rolf Hempelmann, SPD
Barbara Hendricks, SPD
Michael Hennrich, CDU
Winfried Hermann, Bündnis 90/Die Grünen
Jürgen Herrmann, CDU
Gustav Herzog, SPD
Petra Heß, SPD
Peter Hettlich, Bündnis 90/Die Grünen
Bernd Reinhold Gerhard Heynemann, CDU
Hans-Kurt Hill, Die Linke.
Gabriele Hiller-Ohm, SPD
Stephan Hilsberg, SPD
Ernst Hinsken, CSU
Peter Hintze, CDU
Petra Hinz, SPD
Priska Hinz, Bündnis 90/Die Grünen
Cornelia Hirsch, Die Linke.
Robert Hochbaum, CDU
Gerd Höfer, SPD
Ulrike Höfken, Bündnis 90/Die Grünen
Inge Höger-Neuling, Die Linke.
Bärbel Höhn, Bündnis 90/Die Grünen
Barbara Höll, Die Linke.
Joachim Hörster, CDU
Klaus Hofbauer, CSU
Elke Hoff, FDP
Iris Hoffmann, SPD
Frank Hofmann, SPD
Anton Hofreiter, Bündnis 90/Die Grünen
Franz-Josef Holzenkamp, CDU
Birgit Homburger, FDP
Thilo Hoppe, Bündnis 90/Die Grünen
Eike Anna Maria Hovermann, SPD
Werner Hoyer, FDP
Anette Hübinger, CDU
Klaas Hübner, SPD
Hubert Hüppe, CDU
Steffen Hultsch, Die Linke.
Christel Humme, SPD
Lothar Ibrügger, SPD
Brunhilde Irber, SPD
Susanne Jaffke, CDU
Dieter Peter Jahr, CDU
Ulla Jelpke, Die Linke.
Lukrezia Jochimsen, Die Linke.
Hans-Heinrich Jordan, CDU
Andreas Jung, CDU
Franz Josef Jung, CDU
Johannes Jung, SPD
Josip Juratovic, SPD
Johannes Kahrs, SPD
Bartholomäus Kalb, CSU
Hans-Werner Kammer, CDU
Steffen Kampeter, CDU
Alois Karl, CSU
Ulrich Kasparick, SPD
Bernhard Kaster, CDU
Susanne Kastner, SPD
Michael Kauch, FDP
Siegfried Kauder, CDU
Volker Kauder, CDU
Ulrich Kelber, SPD
Hakkı Keskin, Die Linke.
Katja Kipping, Die Linke.
Eckart von Klaeden, CDU
Christian Kleiminger, SPD
Jürgen Klimke, CDU
Julia Klöckner, CDU
Hans-Ulrich Klose, SPD
Astrid Klug, SPD
Monika Knoche, Die Linke.
Ute Koczy, Bündnis 90/Die Grünen
Kristina Köhler, CDU
Hellmut Königshaus, FDP
Norbert Königshofen, CDU
Jens Koeppen, CDU
Fritz-Rudolf Körper, SPD
Bärbel Kofler, SPD
Heinrich Leonhard Kolb, FDP
Manfred Kolbe, CDU
Walter Kolbow, SPD
Gudrun Kopp, FDP
Jürgen Koppelin, FDP
Jan Korte, Die Linke.
Karin Kortmann, SPD
Rolf Koschorrek, CDU
Hartmut Koschyk, CSU
Thomas Kossendey, CDU
Sylvia Kotting-Uhl, Bündnis 90/Die Grünen
Rolf Kramer, SPD
Anette Kramme, SPD
Ernst Kranz, SPD
Nicolette Kressl, SPD
Michael Kretschmer, CDU
