,Firms,Year,Connections
0,GENERALI DEUTSCHLAND HLDG AG,2006,0
1,GENERALI DEUTSCHLAND HLDG AG,2007,0
2,GENERALI DEUTSCHLAND HLDG AG,2008,0
3,GENERALI DEUTSCHLAND HLDG AG,2009,0
4,GENERALI DEUTSCHLAND HLDG AG,2010,0
5,GENERALI DEUTSCHLAND HLDG AG,2011,0
6,GENERALI DEUTSCHLAND HLDG AG,2012,0
7,GENERALI DEUTSCHLAND HLDG AG,2013,0
8,IKB DEUTSCHE INDUSTRIEBANK,2006,1
9,IKB DEUTSCHE INDUSTRIEBANK,2007,0
10,IKB DEUTSCHE INDUSTRIEBANK,2008,0
11,IKB DEUTSCHE INDUSTRIEBANK,2009,0
12,IKB DEUTSCHE INDUSTRIEBANK,2010,21
13,IKB DEUTSCHE INDUSTRIEBANK,2011,21
14,IKB DEUTSCHE INDUSTRIEBANK,2012,19
15,IKB DEUTSCHE INDUSTRIEBANK,2013,19
16,IKB DEUTSCHE INDUSTRIEBANK,2014,0
17,IKB DEUTSCHE INDUSTRIEBANK,2015,0
18,IKB DEUTSCHE INDUSTRIEBANK,2016,0
19,IKB DEUTSCHE INDUSTRIEBANK,2017,0
20,IKB DEUTSCHE INDUSTRIEBANK,2018,0
21,IKB DEUTSCHE INDUSTRIEBANK,2019,0
22,BAYERISCHE HYPO- & VEREINSBK,2006,0
23,BAYERISCHE HYPO- & VEREINSBK,2007,0
24,BAYERISCHE HYPO- & VEREINSBK,2008,0
25,BAYERISCHE HYPO- & VEREINSBK,2009,0
26,BAYERISCHE HYPO- & VEREINSBK,2010,0
27,BAYERISCHE HYPO- & VEREINSBK,2011,0
28,BAYERISCHE HYPO- & VEREINSBK,2012,0
29,BAYERISCHE HYPO- & VEREINSBK,2013,0
30,BAYERISCHE HYPO- & VEREINSBK,2014,0
31,BAYERISCHE HYPO- & VEREINSBK,2015,0
32,BAYERISCHE HYPO- & VEREINSBK,2016,0
33,BAYERISCHE HYPO- & VEREINSBK,2017,0
34,BAYERISCHE HYPO- & VEREINSBK,2018,0
35,BAYERISCHE HYPO- & VEREINSBK,2019,0
36,AXA KONZERN AG,2006,1
37,AXA KONZERN AG,2017,0
38,AXA KONZERN AG,2018,0
39,AXA KONZERN AG,2019,0
40,COMMERZBANK,2006,2
41,COMMERZBANK,2007,2
42,COMMERZBANK,2008,4
43,COMMERZBANK,2009,2
44,COMMERZBANK,2010,69
45,COMMERZBANK,2011,64
46,COMMERZBANK,2012,71
47,COMMERZBANK,2013,82
48,COMMERZBANK,2014,3
49,COMMERZBANK,2015,2
50,COMMERZBANK,2016,2
51,COMMERZBANK,2017,2
52,COMMERZBANK,2018,3
53,COMMERZBANK,2019,1
54,DEUTSCHE BANK AG,2006,1
55,DEUTSCHE BANK AG,2007,1
56,DEUTSCHE BANK AG,2008,1
57,DEUTSCHE BANK AG,2009,1
58,DEUTSCHE BANK AG,2010,53
59,DEUTSCHE BANK AG,2011,53
60,DEUTSCHE BANK AG,2012,62
61,DEUTSCHE BANK AG,2013,64
62,DEUTSCHE BANK AG,2014,1
63,DEUTSCHE BANK AG,2015,1
64,DEUTSCHE BANK AG,2016,0
65,DEUTSCHE BANK AG,2017,0
66,DEUTSCHE BANK AG,2018,0
67,DEUTSCHE BANK AG,2019,0
68,MANNHEIMER AG HLDG,2006,0
69,MANNHEIMER AG HLDG,2007,0
70,MANNHEIMER AG HLDG,2008,0
71,MANNHEIMER AG HLDG,2009,0
72,MANNHEIMER AG HLDG,2010,0
73,MANNHEIMER AG HLDG,2011,0
74,MUNICH RE CO,2006,0
75,MUNICH RE CO,2007,0
76,MUNICH RE CO,2008,0
77,MUNICH RE CO,2009,0
78,MUNICH RE CO,2010,0
79,MUNICH RE CO,2011,0
80,MUNICH RE CO,2012,0
81,MUNICH RE CO,2013,0
82,MUNICH RE CO,2014,0
83,MUNICH RE CO,2015,0
84,MUNICH RE CO,2016,0
85,MUNICH RE CO,2017,0
86,MUNICH RE CO,2018,0
87,MUNICH RE CO,2019,0
88,ERGO VERSICHERUNGSGRUPPE AG,2006,1
89,ERGO VERSICHERUNGSGRUPPE AG,2007,1
90,ERGO VERSICHERUNGSGRUPPE AG,2008,1
91,ERGO VERSICHERUNGSGRUPPE AG,2009,1
92,ERGO VERSICHERUNGSGRUPPE AG,2010,46
93,ERGO VERSICHERUNGSGRUPPE AG,2011,21
94,ERGO VERSICHERUNGSGRUPPE AG,2012,19
95,ERGO VERSICHERUNGSGRUPPE AG,2013,17
96,ERGO VERSICHERUNGSGRUPPE AG,2014,0
97,ALLIANZ SE,2006,2
98,ALLIANZ SE,2007,1
99,ALLIANZ SE,2008,0
100,ALLIANZ SE,2009,0
101,ALLIANZ SE,2010,32
102,ALLIANZ SE,2011,31
103,ALLIANZ SE,2012,37
104,ALLIANZ SE,2013,35
105,ALLIANZ SE,2014,2
106,ALLIANZ SE,2015,1
107,ALLIANZ SE,2016,1
108,ALLIANZ SE,2017,1
109,ALLIANZ SE,2018,1
110,ALLIANZ SE,2019,1
111,ALLIANZ LEBENSVERSICHERUNGS,2006,0
112,ALLIANZ LEBENSVERSICHERUNGS,2007,0
113,ALLIANZ LEBENSVERSICHERUNGS,2008,0
114,ALLIANZ LEBENSVERSICHERUNGS,2009,0
115,ALLIANZ LEBENSVERSICHERUNGS,2010,0
116,ALLIANZ LEBENSVERSICHERUNGS,2011,0
117,ALLIANZ LEBENSVERSICHERUNGS,2012,0
118,ALLIANZ LEBENSVERSICHERUNGS,2013,0
119,ALLIANZ LEBENSVERSICHERUNGS,2014,0
120,ALLIANZ LEBENSVERSICHERUNGS,2015,0
121,ALLIANZ LEBENSVERSICHERUNGS,2016,0
122,ALLIANZ LEBENSVERSICHERUNGS,2017,0
123,ALLIANZ LEBENSVERSICHERUNGS,2018,0
124,ALLIANZ LEBENSVERSICHERUNGS,2019,0
125,GENERAL REINSURANCE AG,2006,0
126,GENERAL REINSURANCE AG,2007,0
127,GENERAL REINSURANCE AG,2008,0
128,GENERAL REINSURANCE AG,2009,0
129,GENERAL REINSURANCE AG,2010,7
130,GENERAL REINSURANCE AG,2011,7
131,GENERAL REINSURANCE AG,2012,8
132,GENERAL REINSURANCE AG,2013,6
133,GENERAL REINSURANCE AG,2014,0
134,GENERAL REINSURANCE AG,2015,0
135,GENERAL REINSURANCE AG,2016,0
136,GENERAL REINSURANCE AG,2017,0
137,GENERAL REINSURANCE AG,2018,0
138,GENERAL REINSURANCE AG,2019,0
139,BASF SE,2006,0
140,BASF SE,2007,0
141,BASF SE,2008,1
142,BASF SE,2009,1
143,BASF SE,2010,45
144,BASF SE,2011,52
145,BASF SE,2012,64
146,BASF SE,2013,59
147,BASF SE,2014,1
148,BASF SE,2015,1
149,BASF SE,2016,1
150,BASF SE,2017,1
151,BASF SE,2018,2
152,BASF SE,2019,0
153,DAIMLER AG,2006,0
154,DAIMLER AG,2007,0
155,DAIMLER AG,2008,0
156,DAIMLER AG,2009,0
157,DAIMLER AG,2010,33
158,DAIMLER AG,2011,33
159,DAIMLER AG,2012,36
160,DAIMLER AG,2013,45
161,DAIMLER AG,2014,0
162,DAIMLER AG,2015,0
163,DAIMLER AG,2016,0
164,DAIMLER AG,2017,0
165,DAIMLER AG,2018,0
166,DAIMLER AG,2019,1
167,SIEMENS AG,2006,1
168,SIEMENS AG,2007,1
169,SIEMENS AG,2008,1
170,SIEMENS AG,2009,1
171,SIEMENS AG,2010,94
172,SIEMENS AG,2011,111
173,SIEMENS AG,2012,98
174,SIEMENS AG,2013,107
175,SIEMENS AG,2014,2
176,SIEMENS AG,2015,2
177,SIEMENS AG,2016,0
178,SIEMENS AG,2017,0
179,SIEMENS AG,2018,0
180,SIEMENS AG,2019,0
181,HAMBORNER REIT AG,2006,0
182,HAMBORNER REIT AG,2007,2
183,HAMBORNER REIT AG,2008,1
184,HAMBORNER REIT AG,2009,1
185,HAMBORNER REIT AG,2010,7
186,HAMBORNER REIT AG,2011,8
187,HAMBORNER REIT AG,2012,8
188,HAMBORNER REIT AG,2013,8
189,HAMBORNER REIT AG,2014,0
190,HAMBORNER REIT AG,2015,0
191,HAMBORNER REIT AG,2016,0
192,HAMBORNER REIT AG,2017,0
193,HAMBORNER REIT AG,2018,0
194,HAMBORNER REIT AG,2019,0
195,BAYERISCHE LANDES GIR,2006,0
196,BAYERISCHE LANDES GIR,2007,0
197,BAYERISCHE LANDES GIR,2008,0
198,BAYERISCHE LANDES GIR,2009,0
199,BAYERISCHE LANDES GIR,2010,0
200,BAYERISCHE LANDES GIR,2011,0
201,BAYERISCHE LANDES GIR,2012,0
202,BAYERISCHE LANDES GIR,2013,0
203,BAYERISCHE LANDES GIR,2014,0
204,BAYERISCHE LANDES GIR,2015,0
205,BAYERISCHE LANDES GIR,2016,0
206,BAYERISCHE LANDES GIR,2017,0
207,BAYERISCHE LANDES GIR,2018,0
208,BAYERISCHE LANDES GIR,2019,0
209,WESTDEUTSCHE LANDESBANK,2006,0
210,WESTDEUTSCHE LANDESBANK,2007,0
211,WESTDEUTSCHE LANDESBANK,2008,0
212,WESTDEUTSCHE LANDESBANK,2009,0
213,WESTDEUTSCHE LANDESBANK,2010,1
214,WESTDEUTSCHE LANDESBANK,2011,1
215,WESTDEUTSCHE LANDESBANK,2012,1
216,WESTDEUTSCHE LANDESBANK,2013,1
217,WESTDEUTSCHE LANDESBANK,2014,0
218,WESTDEUTSCHE LANDESBANK,2015,0
219,WESTDEUTSCHE LANDESBANK,2016,0
220,WESTDEUTSCHE LANDESBANK,2017,0
221,WESTDEUTSCHE LANDESBANK,2018,0
222,WESTDEUTSCHE LANDESBANK,2019,0
223,LANDESBANK BADEN-WURTTEMBERG,2006,1
224,LANDESBANK BADEN-WURTTEMBERG,2007,1
225,LANDESBANK BADEN-WURTTEMBERG,2008,1
226,LANDESBANK BADEN-WURTTEMBERG,2009,1
227,LANDESBANK BADEN-WURTTEMBERG,2010,40
228,LANDESBANK BADEN-WURTTEMBERG,2011,33
229,LANDESBANK BADEN-WURTTEMBERG,2012,30
230,LANDESBANK BADEN-WURTTEMBERG,2013,32
231,LANDESBANK BADEN-WURTTEMBERG,2014,1
232,LANDESBANK BADEN-WURTTEMBERG,2015,1
233,LANDESBANK BADEN-WURTTEMBERG,2016,1
234,LANDESBANK BADEN-WURTTEMBERG,2017,1
235,LANDESBANK BADEN-WURTTEMBERG,2018,1
236,LANDESBANK BADEN-WURTTEMBERG,2019,1
237,NORD/LB,2006,0
238,NORD/LB,2007,0
239,NORD/LB,2008,0
240,NORD/LB,2009,0
241,NORD/LB,2010,4
242,NORD/LB,2011,6
243,NORD/LB,2012,8
244,NORD/LB,2013,6
245,NORD/LB,2014,0
246,NORD/LB,2015,0
247,NORD/LB,2016,0
248,NORD/LB,2017,0
249,NORD/LB,2018,0
250,NORD/LB,2019,0
251,KFW BANKENGRUPPE,2006,7
252,KFW BANKENGRUPPE,2007,8
253,KFW BANKENGRUPPE,2008,9
254,KFW BANKENGRUPPE,2009,14
255,KFW BANKENGRUPPE,2010,35
256,KFW BANKENGRUPPE,2011,38
257,KFW BANKENGRUPPE,2012,42
258,KFW BANKENGRUPPE,2013,49
259,KFW BANKENGRUPPE,2014,13
260,KFW BANKENGRUPPE,2015,13
261,KFW BANKENGRUPPE,2016,12
262,KFW BANKENGRUPPE,2017,16
263,KFW BANKENGRUPPE,2018,13
264,KFW BANKENGRUPPE,2019,9
265,DEKABANK DEUTSCHE GIROZENTRA,2006,0
266,DEKABANK DEUTSCHE GIROZENTRA,2007,1
267,DEKABANK DEUTSCHE GIROZENTRA,2008,1
268,DEKABANK DEUTSCHE GIROZENTRA,2009,1
269,DEKABANK DEUTSCHE GIROZENTRA,2010,24
270,DEKABANK DEUTSCHE GIROZENTRA,2011,32
271,DEKABANK DEUTSCHE GIROZENTRA,2012,36
272,DEKABANK DEUTSCHE GIROZENTRA,2013,34
273,DEKABANK DEUTSCHE GIROZENTRA,2014,1
274,DEKABANK DEUTSCHE GIROZENTRA,2015,1
275,DEKABANK DEUTSCHE GIROZENTRA,2016,1
276,DEKABANK DEUTSCHE GIROZENTRA,2017,0
277,DEKABANK DEUTSCHE GIROZENTRA,2018,0
278,DEKABANK DEUTSCHE GIROZENTRA,2019,0
279,DBV WINTERTHUR HOLDING AG,2006,0
280,DBV WINTERTHUR HOLDING AG,2007,0
281,LANDESBANK HESSEN,2006,0
282,LANDESBANK HESSEN,2007,0
283,LANDESBANK HESSEN,2008,0
284,LANDESBANK HESSEN,2009,0
285,LANDESBANK HESSEN,2010,29
286,LANDESBANK HESSEN,2011,34
287,LANDESBANK HESSEN,2012,39
288,LANDESBANK HESSEN,2013,43
289,LANDESBANK HESSEN,2014,0
290,LANDESBANK HESSEN,2015,0
291,LANDESBANK HESSEN,2016,0
292,LANDESBANK HESSEN,2017,0
293,LANDESBANK HESSEN,2018,0
294,LANDESBANK HESSEN,2019,1
295,BREMER LANDESBANK KREDT,2006,0
296,BREMER LANDESBANK KREDT,2007,0
297,BREMER LANDESBANK KREDT,2008,0
298,BREMER LANDESBANK KREDT,2009,0
299,BREMER LANDESBANK KREDT,2010,0
300,BREMER LANDESBANK KREDT,2011,0
301,BREMER LANDESBANK KREDT,2012,0
302,BREMER LANDESBANK KREDT,2013,0
303,BREMER LANDESBANK KREDT,2014,0
304,BREMER LANDESBANK KREDT,2015,0
305,BREMER LANDESBANK KREDT,2016,0
306,LANDESBANK BERLIN,2006,0
307,LANDESBANK BERLIN,2007,0
308,LANDESBANK BERLIN,2008,0
309,LANDESBANK BERLIN,2009,0
310,LANDESBANK BERLIN,2010,52
311,LANDESBANK BERLIN,2011,54
312,LANDESBANK BERLIN,2012,74
313,LANDESBANK BERLIN,2013,53
314,LANDESBANK BERLIN,2014,0
315,LANDESBANK BERLIN,2015,0
316,LANDESBANK BERLIN,2016,0
317,LANDESBANK BERLIN,2017,0
318,LANDESBANK BERLIN,2018,1
319,LANDESBANK BERLIN,2019,1
320,LANDESBANK BERLIN HOLDING AG,2006,0
321,LANDESBANK BERLIN HOLDING AG,2007,0
322,LANDESBANK BERLIN HOLDING AG,2008,0
323,LANDESBANK BERLIN HOLDING AG,2009,0
324,LANDESBANK BERLIN HOLDING AG,2010,23
325,LANDESBANK BERLIN HOLDING AG,2011,25
326,LANDESBANK BERLIN HOLDING AG,2012,44
327,LANDESBANK BERLIN HOLDING AG,2013,21
328,LANDESBANK BERLIN HOLDING AG,2014,0
329,LANDESBANK BERLIN HOLDING AG,2015,0
330,LANDESBANK BERLIN HOLDING AG,2016,0
331,LANDESBANK BERLIN HOLDING AG,2017,0
332,LANDESBANK BERLIN HOLDING AG,2018,0
333,LANDESBANK BERLIN HOLDING AG,2019,0
334,WGZ-BANK,2006,0
335,WGZ-BANK,2007,0
336,WGZ-BANK,2008,0
337,WGZ-BANK,2009,0
338,WGZ-BANK,2010,6
339,WGZ-BANK,2011,5
340,WGZ-BANK,2012,5
341,WGZ-BANK,2013,6
342,WGZ-BANK,2014,1
343,WGZ-BANK,2015,1
344,PFEIFFER VACUUM TECHNOLOGY,2006,0
345,PFEIFFER VACUUM TECHNOLOGY,2007,0
346,PFEIFFER VACUUM TECHNOLOGY,2008,0
347,PFEIFFER VACUUM TECHNOLOGY,2009,0
348,PFEIFFER VACUUM TECHNOLOGY,2010,11
349,PFEIFFER VACUUM TECHNOLOGY,2011,10
350,PFEIFFER VACUUM TECHNOLOGY,2012,10
351,PFEIFFER VACUUM TECHNOLOGY,2013,9
352,PFEIFFER VACUUM TECHNOLOGY,2014,0
353,PFEIFFER VACUUM TECHNOLOGY,2015,0
354,PFEIFFER VACUUM TECHNOLOGY,2016,0
355,PFEIFFER VACUUM TECHNOLOGY,2017,0
356,PFEIFFER VACUUM TECHNOLOGY,2018,0
357,PFEIFFER VACUUM TECHNOLOGY,2019,0
358,ALTANA AG,2006,2
359,ALTANA AG,2007,1
360,ALTANA AG,2008,0
361,ALTANA AG,2009,0
362,ALTANA AG,2010,37
363,ALTANA AG,2011,17
364,ALTANA AG,2012,25
365,ALTANA AG,2013,23
366,ALTANA AG,2014,0
367,ALTANA AG,2015,0
368,ALTANA AG,2016,0
369,ALTANA AG,2017,0
370,ALTANA AG,2018,0
371,ALTANA AG,2019,0
372,BAYWA AG,2006,0
373,BAYWA AG,2007,0
374,BAYWA AG,2008,0
375,BAYWA AG,2009,0
376,BAYWA AG,2010,20
377,BAYWA AG,2011,16
378,BAYWA AG,2012,17
379,BAYWA AG,2013,25
380,BAYWA AG,2014,0
381,BAYWA AG,2015,0
382,BAYWA AG,2016,0
383,BAYWA AG,2017,0
384,BAYWA AG,2018,0
385,BAYWA AG,2019,0
386,BAYER MOTOREN WERKE AG,2006,0
387,BAYER MOTOREN WERKE AG,2007,0
388,BAYER MOTOREN WERKE AG,2008,0
389,BAYER MOTOREN WERKE AG,2009,0
390,BAYER MOTOREN WERKE AG,2010,0
391,BAYER MOTOREN WERKE AG,2011,0
392,BAYER MOTOREN WERKE AG,2012,0
393,BAYER MOTOREN WERKE AG,2013,0
394,BAYER MOTOREN WERKE AG,2014,0
395,BAYER MOTOREN WERKE AG,2015,0
396,BAYER MOTOREN WERKE AG,2016,0
397,BAYER MOTOREN WERKE AG,2017,0
398,BAYER MOTOREN WERKE AG,2018,0
399,BAYER MOTOREN WERKE AG,2019,0
400,LINDE AG,2006,1
401,LINDE AG,2007,1
402,LINDE AG,2008,1
403,LINDE AG,2009,1
404,LINDE AG,2010,28
405,LINDE AG,2011,30
406,LINDE AG,2012,31
407,LINDE AG,2013,34
408,LINDE AG,2014,1
409,LINDE AG,2015,1
410,LINDE AG,2016,0
411,LINDE AG,2017,0
412,MAN SE,2006,0
413,MAN SE,2007,0
414,MAN SE,2008,0
415,MAN SE,2009,0
416,MAN SE,2010,21
417,MAN SE,2011,27
418,MAN SE,2012,20
419,MAN SE,2013,18
420,MAN SE,2014,1
421,MAN SE,2015,1
422,MAN SE,2016,1
423,MAN SE,2017,0
424,MAN SE,2018,0
425,MAN SE,2019,0
426,HOCHTIEF AG,2006,2
427,HOCHTIEF AG,2007,2
428,HOCHTIEF AG,2008,1
429,HOCHTIEF AG,2009,1
430,HOCHTIEF AG,2010,20
431,HOCHTIEF AG,2011,29
432,HOCHTIEF AG,2012,21
433,HOCHTIEF AG,2013,25
434,HOCHTIEF AG,2014,1
435,HOCHTIEF AG,2015,1
436,HOCHTIEF AG,2016,1
437,HOCHTIEF AG,2017,1
438,HOCHTIEF AG,2018,1
439,HOCHTIEF AG,2019,1
440,DAHLBUSCH AG,2006,0
441,DAHLBUSCH AG,2007,0
442,DAHLBUSCH AG,2008,0
443,DAHLBUSCH AG,2009,0
444,DAHLBUSCH AG,2010,2
445,DAHLBUSCH AG,2011,2
446,DAHLBUSCH AG,2012,2
447,DAHLBUSCH AG,2013,3
448,DAHLBUSCH AG,2014,0
449,DAHLBUSCH AG,2015,0
450,DAHLBUSCH AG,2016,0
451,DAHLBUSCH AG,2017,0
452,DAHLBUSCH AG,2018,0
453,DAHLBUSCH AG,2019,0
454,BAYER AG,2006,0
455,BAYER AG,2007,0
456,BAYER AG,2008,1
457,BAYER AG,2009,1
458,BAYER AG,2010,45
459,BAYER AG,2011,45
460,BAYER AG,2012,47
461,BAYER AG,2013,50
462,BAYER AG,2014,1
463,BAYER AG,2015,1
464,BAYER AG,2016,0
465,BAYER AG,2017,0
466,BAYER AG,2018,0
467,BAYER AG,2019,0
468,BEIERSDORF AG,2006,0
469,BEIERSDORF AG,2007,0
470,BEIERSDORF AG,2008,0
471,BEIERSDORF AG,2009,0
472,BEIERSDORF AG,2010,22
473,BEIERSDORF AG,2011,23
474,BEIERSDORF AG,2012,27
475,BEIERSDORF AG,2013,24
476,BEIERSDORF AG,2014,0
477,BEIERSDORF AG,2015,0
478,BEIERSDORF AG,2016,0
479,BEIERSDORF AG,2017,0
480,BEIERSDORF AG,2018,0
481,BEIERSDORF AG,2019,0
482,BILFINGER SE,2006,0
483,BILFINGER SE,2007,0
484,BILFINGER SE,2008,0
485,BILFINGER SE,2009,0
486,BILFINGER SE,2010,28
487,BILFINGER SE,2011,20
488,BILFINGER SE,2012,17
489,BILFINGER SE,2013,19
490,BILFINGER SE,2014,0
491,BILFINGER SE,2015,0
492,BILFINGER SE,2016,0
493,BILFINGER SE,2017,0
494,BILFINGER SE,2018,0
495,BILFINGER SE,2019,0
496,DEUTSCHE LUFTHANSA AG,2006,0
497,DEUTSCHE LUFTHANSA AG,2007,0
498,DEUTSCHE LUFTHANSA AG,2008,0
499,DEUTSCHE LUFTHANSA AG,2009,0
500,DEUTSCHE LUFTHANSA AG,2010,26
501,DEUTSCHE LUFTHANSA AG,2011,24
502,DEUTSCHE LUFTHANSA AG,2012,29
503,DEUTSCHE LUFTHANSA AG,2013,36
504,DEUTSCHE LUFTHANSA AG,2014,0
505,DEUTSCHE LUFTHANSA AG,2015,0
506,DEUTSCHE LUFTHANSA AG,2016,0
507,DEUTSCHE LUFTHANSA AG,2017,0
508,DEUTSCHE LUFTHANSA AG,2018,0
509,DEUTSCHE LUFTHANSA AG,2019,0
510,KLOECKNER-WERKE AG,2006,0
511,KLOECKNER-WERKE AG,2007,0
512,KLOECKNER-WERKE AG,2008,0
513,KLOECKNER-WERKE AG,2009,0
514,KLOECKNER-WERKE AG,2010,0
515,CUSTODIA HOLDING AG,2006,0
516,CUSTODIA HOLDING AG,2007,0
517,CUSTODIA HOLDING AG,2008,0
518,CUSTODIA HOLDING AG,2009,0
519,CUSTODIA HOLDING AG,2010,0
520,CUSTODIA HOLDING AG,2011,0
521,CUSTODIA HOLDING AG,2012,0
522,CUSTODIA HOLDING AG,2013,0
523,CUSTODIA HOLDING AG,2014,0
524,CUSTODIA HOLDING AG,2015,0
525,CUSTODIA HOLDING AG,2016,0
526,CUSTODIA HOLDING AG,2017,0
527,ANZAG-ANDREAE-NORIS ZAHN AG,2006,0
528,ANZAG-ANDREAE-NORIS ZAHN AG,2007,0
529,ANZAG-ANDREAE-NORIS ZAHN AG,2008,0
530,ANZAG-ANDREAE-NORIS ZAHN AG,2009,0
531,ANZAG-ANDREAE-NORIS ZAHN AG,2010,0
532,ANZAG-ANDREAE-NORIS ZAHN AG,2010,0
533,ANZAG-ANDREAE-NORIS ZAHN AG,2011,0
534,PILKINGTON DEUTSCHLAND AG,2006,0
535,PILKINGTON DEUTSCHLAND AG,2007,0
536,PILKINGTON DEUTSCHLAND AG,2008,0
537,PILKINGTON DEUTSCHLAND AG,2009,0
538,PILKINGTON DEUTSCHLAND AG,2010,3
539,PILKINGTON DEUTSCHLAND AG,2011,5
540,PILKINGTON DEUTSCHLAND AG,2012,5
541,PILKINGTON DEUTSCHLAND AG,2013,4
542,PILKINGTON DEUTSCHLAND AG,2014,0
543,PILKINGTON DEUTSCHLAND AG,2015,0
544,PILKINGTON DEUTSCHLAND AG,2016,0
545,PILKINGTON DEUTSCHLAND AG,2017,0
546,PILKINGTON DEUTSCHLAND AG,2018,0
547,PILKINGTON DEUTSCHLAND AG,2019,0
548,DEUTZ AG,2006,0
549,DEUTZ AG,2007,1
550,DEUTZ AG,2008,1
551,DEUTZ AG,2009,1
552,DEUTZ AG,2010,14
553,DEUTZ AG,2011,13
554,DEUTZ AG,2012,14
555,DEUTZ AG,2013,16
556,DEUTZ AG,2014,0
557,DEUTZ AG,2015,1
558,DEUTZ AG,2016,1
559,DEUTZ AG,2017,1
560,DEUTZ AG,2018,1
561,DEUTZ AG,2019,2
562,RHEINMETALL AG,2006,0
563,RHEINMETALL AG,2007,0
564,RHEINMETALL AG,2008,0
565,RHEINMETALL AG,2009,0
566,RHEINMETALL AG,2010,28
567,RHEINMETALL AG,2011,27
568,RHEINMETALL AG,2012,33
569,RHEINMETALL AG,2013,27
570,RHEINMETALL AG,2014,0
571,RHEINMETALL AG,2015,0
572,RHEINMETALL AG,2016,0
573,RHEINMETALL AG,2017,1
574,RHEINMETALL AG,2018,1
575,RHEINMETALL AG,2019,0
576,ROSENTHAL AG,2006,0
577,ROSENTHAL AG,2007,0
578,DIDIER-WERKE AG,2006,0
579,DIDIER-WERKE AG,2007,0
580,DIDIER-WERKE AG,2008,0
581,DIDIER-WERKE AG,2009,0
582,GEA GROUP AG,2006,0
583,GEA GROUP AG,2007,0
584,GEA GROUP AG,2008,0
585,GEA GROUP AG,2009,0
586,GEA GROUP AG,2010,12
587,GEA GROUP AG,2011,14
588,GEA GROUP AG,2012,14
589,GEA GROUP AG,2013,15
590,GEA GROUP AG,2014,0
591,GEA GROUP AG,2015,0
592,GEA GROUP AG,2016,0
593,GEA GROUP AG,2017,0
594,GEA GROUP AG,2018,0
595,GEA GROUP AG,2019,0
596,HEIDELBERGCEMENT AG,2006,2
597,HEIDELBERGCEMENT AG,2007,2
598,HEIDELBERGCEMENT AG,2008,2
599,HEIDELBERGCEMENT AG,2009,3
600,HEIDELBERGCEMENT AG,2010,23
601,HEIDELBERGCEMENT AG,2011,21
602,HEIDELBERGCEMENT AG,2012,22
603,HEIDELBERGCEMENT AG,2013,23
604,HEIDELBERGCEMENT AG,2014,0
605,HEIDELBERGCEMENT AG,2015,0
606,HEIDELBERGCEMENT AG,2016,0
607,HEIDELBERGCEMENT AG,2017,0
608,HEIDELBERGCEMENT AG,2018,0
609,HEIDELBERGCEMENT AG,2019,0
610,HAPAG-LLOYD AG,2006,0
611,HAPAG-LLOYD AG,2007,0
612,HAPAG-LLOYD AG,2008,0
613,HAPAG-LLOYD AG,2009,0
614,HAPAG-LLOYD AG,2010,19
615,HAPAG-LLOYD AG,2011,21
616,HAPAG-LLOYD AG,2012,18
617,HAPAG-LLOYD AG,2013,18
618,HAPAG-LLOYD AG,2014,0
619,HAPAG-LLOYD AG,2015,1
620,HAPAG-LLOYD AG,2016,1
621,HAPAG-LLOYD AG,2017,0
622,HAPAG-LLOYD AG,2018,0
623,HAPAG-LLOYD AG,2019,0
624,KUKA AG,2006,0
625,KUKA AG,2007,0
626,KUKA AG,2008,0
627,KUKA AG,2009,0
628,KUKA AG,2010,19
629,KUKA AG,2011,19
630,KUKA AG,2012,21
631,KUKA AG,2013,21
632,KUKA AG,2014,0
633,KUKA AG,2015,0
634,KUKA AG,2016,0
635,KUKA AG,2017,0
636,KUKA AG,2018,0
637,KUKA AG,2019,0
638,STRABAG AG,2006,0
639,STRABAG AG,2007,0
640,STRABAG AG,2008,0
641,STRABAG AG,2009,0
642,STRABAG AG,2010,6
643,STRABAG AG,2011,6
644,STRABAG AG,2012,6
645,STRABAG AG,2013,6
646,STRABAG AG,2014,0
647,STRABAG AG,2015,0
648,STRABAG AG,2016,0
649,ARCANDOR AG,2006,0
650,ARCANDOR AG,2007,0
651,ARCANDOR AG,2008,0
652,SCA HYGIENE PRODUCTS SE,2006,2
653,SCA HYGIENE PRODUCTS SE,2007,2
654,SCA HYGIENE PRODUCTS SE,2008,2
655,SCA HYGIENE PRODUCTS SE,2009,2
656,SCA HYGIENE PRODUCTS SE,2010,1
657,SCA HYGIENE PRODUCTS SE,2011,1
658,SCA HYGIENE PRODUCTS SE,2012,1
659,E.ON SE,2006,0
660,E.ON SE,2007,0
661,E.ON SE,2008,0
662,E.ON SE,2009,0
663,E.ON SE,2010,45
664,E.ON SE,2011,43
665,E.ON SE,2012,38
666,E.ON SE,2013,32
667,E.ON SE,2014,2
668,E.ON SE,2015,1
669,E.ON SE,2016,1
670,E.ON SE,2017,0
671,E.ON SE,2018,0
672,E.ON SE,2019,0
673,CONTINENTAL AG,2006,1
674,CONTINENTAL AG,2007,1
675,CONTINENTAL AG,2008,1
676,CONTINENTAL AG,2009,2
677,CONTINENTAL AG,2010,33
678,CONTINENTAL AG,2011,35
679,CONTINENTAL AG,2012,34
